estrategia,semilla,resultado,victoria,victimas_rescatadas,victimas_perdidas,victimas_reveladas,falsas_alarmas,danio_estructural,turnos,derribos,replanificaciones,celdas_recorridas,ap_gastados,ap_desperdiciados,fuegos_apagados,humos_apagados,paredes_cortadas,fuegos_al_final,tiempo_ms
mejorada_sin_coordinacion,58,victoria,1,7,1,8,5,18,42,7,0,99,171,0,16,13,0,20,41.66
mejorada_sin_coordinacion,59,victoria,1,7,1,8,5,20,45,5,4,106,184,0,13,13,0,20,49.08
mejorada_sin_coordinacion,60,derrota_colapso,0,4,2,7,4,24,36,6,0,84,147,0,12,10,0,21,38.66
mejorada_sin_coordinacion,61,victoria,1,7,2,10,5,21,45,14,1,90,184,0,28,14,0,14,31.93
mejorada_sin_coordinacion,62,derrota_colapso,0,4,2,8,5,24,42,7,3,101,171,0,16,12,0,23,38.56
mejorada_sin_coordinacion,63,derrota_colapso,0,5,0,9,5,24,42,4,2,95,171,0,20,7,0,17,35.99
mejorada_sin_coordinacion,64,derrota_colapso,0,1,1,4,3,24,31,4,0,80,125,0,10,9,0,16,37.86
mejorada_sin_coordinacion,65,derrota_colapso,0,6,2,9,5,24,50,6,2,117,203,0,20,16,0,18,55.63
mejorada_sin_coordinacion,66,derrota_victimas,0,2,4,4,3,23,36,4,0,111,148,0,10,7,0,25,51.43
mejorada_sin_coordinacion,67,derrota_colapso,0,2,0,4,2,24,27,6,0,64,111,0,14,6,0,18,40.96
mejorada_sin_coordinacion,68,derrota_colapso,0,4,2,8,5,24,46,9,5,125,182,0,14,14,0,21,60.02
mejorada_sin_coordinacion,69,derrota_colapso,0,3,0,5,3,24,31,4,0,88,127,0,8,8,0,18,34.67
mejorada_sin_coordinacion,70,derrota_colapso,0,2,2,6,3,24,34,7,0,78,139,0,18,7,0,20,30.24
mejorada_sin_coordinacion,71,victoria,1,7,3,8,5,5,33,4,0,86,136,0,11,13,0,7,40.22
mejorada_sin_coordinacion,72,derrota_colapso,0,6,1,6,2,24,40,5,2,90,153,7,13,14,0,19,44.47
mejorada_sin_coordinacion,73,victoria,1,7,3,8,5,10,48,6,2,106,176,4,17,14,0,22,40.01
mejorada_sin_coordinacion,74,derrota_colapso,0,1,0,3,5,24,26,5,0,66,108,0,12,8,0,16,27.25
mejorada_sin_coordinacion,75,victoria,1,7,2,8,5,16,48,11,1,116,193,0,20,15,0,17,41.05
mejorada_sin_coordinacion,76,derrota_colapso,0,3,3,7,3,24,41,2,2,103,160,0,12,11,0,25,44.1
mejorada_sin_coordinacion,77,victoria,1,7,0,10,5,10,52,5,0,127,212,0,13,28,0,6,51.25
mejorada_sin_coordinacion,78,derrota_colapso,0,6,1,8,3,24,41,5,0,106,168,0,13,9,0,21,48.39
mejorada_sin_coordinacion,79,victoria,1,7,1,9,3,20,57,2,0,132,221,10,24,21,0,12,59.53
mejorada_sin_coordinacion,80,derrota_colapso,0,6,1,9,4,24,55,9,4,122,223,0,23,21,0,22,58.21
mejorada_sin_coordinacion,81,derrota_colapso,0,6,3,7,5,24,35,4,0,94,143,0,11,9,0,17,35.64
mejorada_sin_coordinacion,82,derrota_colapso,0,6,1,9,5,24,53,11,3,125,212,2,21,22,0,14,57.15
mejorada_sin_coordinacion,83,derrota_victimas,0,4,4,6,5,14,33,8,0,86,135,0,17,9,0,17,39.36
mejorada_sin_coordinacion,84,derrota_colapso,0,2,0,5,2,24,35,5,2,80,139,0,16,8,0,16,35.8
mejorada_sin_coordinacion,85,victoria,1,7,0,9,3,13,32,4,1,75,132,0,10,11,0,17,24.79
mejorada_sin_coordinacion,86,derrota_colapso,0,5,0,8,5,24,47,5,0,109,192,0,21,14,0,21,43.09
mejorada_sin_coordinacion,87,derrota_colapso,0,1,2,5,4,24,29,5,0,72,120,0,14,3,0,20,33.66
mejorada_sin_coordinacion,88,derrota_colapso,0,4,1,5,3,24,41,11,0,101,168,0,19,14,0,15,44.98
mejorada_sin_coordinacion,89,victoria,1,7,0,8,5,15,38,6,1,80,156,0,19,11,0,12,24.89
mejorada_sin_coordinacion,90,derrota_victimas,0,2,4,5,3,7,29,10,0,68,120,0,14,8,0,16,22.9
mejorada_sin_coordinacion,91,derrota_colapso,0,1,0,5,3,24,35,5,2,90,143,0,8,8,0,26,29.08
mejorada_sin_coordinacion,92,derrota_colapso,0,6,1,8,5,24,41,4,0,105,167,0,8,12,0,22,34.02
mejorada_sin_coordinacion,93,victoria,1,7,2,9,4,23,48,12,0,111,195,0,20,18,0,12,51.38
mejorada_sin_coordinacion,94,victoria,1,7,2,8,4,15,54,6,1,147,219,0,22,14,0,22,68.95
mejorada_sin_coordinacion,95,derrota_victimas,0,3,4,6,4,8,37,8,0,73,151,0,25,10,0,13,39.63
mejorada_sin_coordinacion,96,victoria,1,7,0,9,4,21,30,2,3,76,122,0,6,11,0,15,28.91
mejorada_sin_coordinacion,97,derrota_colapso,0,4,1,6,4,24,31,17,2,73,128,0,19,5,0,15,27.87
mejorada_sin_coordinacion,98,derrota_colapso,0,6,3,7,5,24,57,12,0,123,229,0,25,25,0,17,49.04
mejorada_sin_coordinacion,99,derrota_victimas,0,3,4,8,4,21,28,9,1,69,114,0,10,7,0,18,25.14
