estrategia,semilla,resultado,victoria,victimas_rescatadas,victimas_perdidas,victimas_reveladas,falsas_alarmas,danio_estructural,turnos,derribos,replanificaciones,celdas_recorridas,ap_gastados,ap_desperdiciados,fuegos_apagados,humos_apagados,paredes_cortadas,fuegos_al_final,tiempo_ms
mejorada,85,victoria,1,7,0,9,3,19,38,4,4,91,154,0,10,15,0,22,33.63
mejorada,86,victoria,1,7,1,10,3,10,52,6,1,118,212,0,23,18,0,16,42.09
mejorada,87,derrota_colapso,0,1,0,5,3,24,29,5,3,72,120,0,13,4,0,20,30.24
mejorada,88,derrota_colapso,0,3,2,6,5,24,34,14,2,77,140,0,21,11,0,14,34.44
mejorada,89,victoria,1,7,0,9,5,14,39,5,0,84,160,0,18,10,0,15,27.08
mejorada,90,derrota_victimas,0,5,4,6,5,23,47,11,0,105,192,0,22,11,0,25,46.11
mejorada,91,derrota_colapso,0,1,1,6,2,24,35,11,2,69,116,12,10,10,0,20,24.45
mejorada,92,victoria,1,7,0,10,5,18,39,4,1,100,159,0,5,13,0,18,31.32
mejorada,93,derrota_colapso,0,5,1,8,4,24,47,10,2,100,192,0,24,16,0,13,40.54
mejorada,94,derrota_colapso,0,6,3,7,5,24,59,16,1,126,222,3,23,18,0,27,51.0
mejorada,95,victoria,1,7,3,7,5,17,47,12,2,96,192,0,30,9,0,17,38.88
mejorada,96,victoria,1,7,2,8,5,23,38,8,2,86,156,0,16,13,0,14,24.99
mejorada,97,derrota_colapso,0,2,1,4,5,24,31,17,1,65,127,0,20,7,0,11,21.9
mejorada,98,derrota_victimas,0,3,4,6,3,24,43,15,2,84,176,0,24,10,0,22,36.04
mejorada,99,derrota_victimas,0,3,4,7,5,22,28,10,1,67,116,0,10,8,0,17,26.25
